lon,lat,ve,vn,ee,en,site,yrs,t_start_end,network
28.6419,44.0865,-0.2,-0.1,0.16,0.16,AGIG,6.06,2013.45-2019.51,NIEP
21.409,38.624,-11.11,-7.0,0.2,0.2,AGRI,8.38,2010.74-2019.12,METRICA
27.2488,42.6996,-0.1,-0.8,0.16,0.21,AITO,10.29,2009.22-2019.51,BULGARIA
16.4559,39.9458,0.5,4.1,0.35,0.66,ALBI,5.66,2012.36-2018.02,RING
25.8535,40.8492,-0.1,-1.74,0.17,0.38,ALE1,7.85,2011.67-2019.53,BULGARIA
16.5586,40.8228,1.3,4.3,0.15,0.15,ALTA,8.09,2011.41-2019.50,ITALPOS
16.604,40.9073,1.1,4.4,0.09,0.1,AMUR,13.9,2005.61-2019.51,RING
23.9041,37.7334,-16.71,-25.92,0.18,0.16,ANAV,12.47,2007.05-2019.52,METRICA
24.7371,37.8864,-16.81,-26.27,0.31,0.5,ANDR,8.45,2011.07-2019.52,METRICA
21.9251,38.5945,-10.45,-10.21,0.56,0.69,ANOC,3.27,2015.74-2019.00,CRL
25.2689,35.134,-15.61,-27.22,0.38,0.32,ARKL,4.77,2014.75-2019.52,METRICA
21.8167,38.3011,-15.85,-19.22,0.34,0.36,ARSA,5.07,2014.44-2019.51,CRL
20.9917,39.1588,-6.4,-4.93,0.27,0.24,ARTA,6.26,2013.25-2019.52,METRICA
58.5605,56.4298,-0.6,-0.2,0.15,0.12,ARTU,19.51,2000.00-2019.51,IGS
20.5417,38.3778,-6.22,-10.51,0.42,0.75,ASSO,3.57,2015.94-2019.51,CRL
26.3533,36.5451,-15.31,-29.22,0.25,0.31,ASTY,5.6,2013.92-2019.52,METRICA
22.9994,38.6531,-11.71,-19.79,0.21,0.27,ATAL,8.61,2009.23-2017.85,NOA
22.8349,37.2444,-17.6,-27.54,0.35,0.25,ATRS,4.12,2012.00-2016.12,NOA
23.0037,40.5668,1.6,-6.91,0.14,0.17,AUT1,14.26,2005.25-2019.51,EUREF
17.7325,40.3418,1.0,4.2,0.21,0.28,AVET,7.24,2012.05-2019.29,NETGEO
28.7351,44.884,0.1,-0.4,0.2,0.18,BABA,6.06,2013.45-2019.51,NIEP
20.0722,42.3636,-0.3,1.2,0.77,0.81,BACU,4.34,2015.17-2019.51,ALBANIA
19.5706,43.9685,1.0,1.0,0.18,0.22,BAJI,9.42,2008.28-2017.70,AGROS
20.0741,42.3577,0.07,0.47,0.41,0.33,BAJR,9.69,2009.74-2019.43,ALBPOS
19.1002,42.1025,-0.4,0.9,0.17,0.19,BAR1,9.01,2008.00-2017.01,MONTENEGRO
21.079,44.1527,0.7,-0.9,0.26,0.19,BATO,10.21,2009.28-2019.50,AGROS
25.1247,43.6481,-0.2,-1.2,0.16,0.18,BELE,4.81,2014.59-2019.40,BULGARIA
22.68,43.6256,-0.2,-1.1,0.18,0.21,BELO,4.91,2014.60-2019.51,BULGARIA
20.4766,44.8055,0.7,0.0,0.15,0.14,BEOG,8.92,2008.28-2017.20,AGROS
19.9563,40.7029,-0.7,-0.1,0.17,0.19,BER1,9.8,2009.63-2019.43,ALBPOS
19.9455,40.7082,-0.9,-0.2,0.18,0.18,BERA,13.72,2005.79-2019.51,ALBANIA
22.853,41.7054,0.5,-3.8,0.17,0.15,BERO,9.69,2009.54-2019.23,MAKPOS
25.672,43.4687,0.2,-1.2,0.14,0.16,BIAR,10.07,2009.44-2019.51,BULGARIA
17.4286,50.2567,0.0,-0.1,0.1,0.14,BISK,14.3,2005.21-2019.51,EUREF
21.3355,41.0241,1.3,-3.7,0.19,0.22,BITO,9.83,2009.40-2019.23,MAKPOS
23.0887,41.9902,0.8,-2.6,0.16,0.18,BLAG,6.88,2012.63-2019.51,BULGARIA
23.0076,42.3671,0.3,-2.0,0.21,0.26,BOBO,5.05,2007.49-2012.54,BULGARIA
21.0353,52.4759,-0.3,0.1,0.07,0.08,BOGO,19.51,2000.00-2019.51,EUREF
22.0976,44.0789,1.11,-0.2,0.13,0.17,BOR0,11.12,2008.29-2019.41,AGROS
17.0735,52.277,0.0,-0.1,0.06,0.08,BOR1,19.51,2000.00-2019.51,EUREF
22.4717,42.5008,0.9,-2.8,0.17,0.18,BOSI,9.72,2009.77-2019.50,AGROS
26.1257,44.4639,-0.3,-1.1,0.08,0.1,BUCU,19.51,2000.00-2019.51,EUREF
21.7662,42.4596,0.7,-2.3,0.11,0.14,BUJA,11.21,2008.28-2019.50,AGROS
27.4683,42.5004,0.0,-0.7,0.18,0.2,BUR1,6.2,2013.01-2019.21,BULGARIA
27.4778,42.4959,-0.3,-0.8,0.29,0.25,BURG,4.34,2009.86-2014.20,OLG
16.2737,41.0776,1.2,4.4,0.13,0.13,CADM,13.6,2000.51-2014.11,RING
16.4492,39.3402,1.4,3.5,0.23,0.21,CAMO,8.0,2006.87-2014.87,UNAVCO
18.3473,39.8333,0.8,4.1,0.17,0.19,CASR,7.46,2012.05-2019.51,NETGEO
16.6203,38.8272,1.5,3.1,0.44,0.44,CATZ,3.76,2013.20-2016.96,NETGEO
16.7756,39.2262,2.0,3.4,0.3,0.23,CCRI,5.29,2006.91-2012.20,UNAVCO
16.5088,39.4027,1.4,3.4,0.2,0.16,CELI,7.71,2011.80-2019.51,RING
24.0809,43.2801,0.04,-1.1,0.22,0.21,CHER,4.91,2014.59-2019.51,BULGARIA
26.1272,38.3679,-19.81,-23.22,0.29,0.31,CHIO,5.6,2013.92-2019.52,METRICA
28.8385,44.4941,-0.5,-0.2,0.2,0.17,CHIT,6.12,2013.39-2019.51,NIEP
17.1323,39.3756,2.39,3.78,0.25,0.16,CIRO,5.78,2009.74-2015.52,CALABRIA
31.3136,51.5189,-0.5,0.39,0.15,0.18,CNIV,12.9,2006.61-2019.51,EUREF
16.4222,40.1934,0.8,4.5,0.2,0.17,COLR,6.83,2011.70-2018.52,RING
16.57,38.8567,2.0,3.7,0.33,0.35,COMA,5.09,2012.20-2017.29,CALABRIA
28.6453,44.2138,0.8,-0.4,0.24,0.28,CONB,3.03,2016.48-2019.51,NIEP
16.557,39.621,2.6,4.7,0.26,0.31,CORC,3.33,2015.69-2019.02,ITALPOS
28.6575,44.1615,-0.4,-0.5,0.11,0.1,COST,13.51,2006.00-2019.51,EUREF
16.4352,40.3814,1.1,4.4,0.11,0.12,CRAC,13.56,2005.95-2019.51,RING
23.7646,44.338,-0.11,-0.9,0.17,0.2,CRAI,9.92,2005.82-2015.74,OLG
17.2325,40.6046,0.7,4.8,0.18,0.27,CRIS,7.45,2012.05-2019.50,NETGEO
16.5473,39.2784,1.0,3.3,0.27,0.34,CRLM,5.34,2006.86-2012.20,UNAVCO
17.1143,39.0689,4.0,3.7,0.18,0.2,CROT,6.18,2012.05-2018.23,NETGEO
16.9863,39.0325,2.5,3.1,0.21,0.23,CUT1,5.35,2014.16-2019.50,ITALPOS
20.5283,41.5215,0.4,-0.9,0.21,0.23,DEBA,9.51,2009.71-2019.23,MAKPOS
4.3876,51.9861,-0.1,-0.1,0.1,0.15,DELF,19.51,2000.00-2019.51,EUREF
6.6997,49.3716,0.2,-0.1,0.12,0.12,DILL,10.75,2005.57-2016.32,GREF
22.7781,43.016,0.39,-1.4,0.12,0.19,DIMI,11.21,2008.28-2019.50,AGROS
27.838,43.5585,0.1,-0.4,0.13,0.15,DOBR,9.69,2009.82-2019.51,BULGARIA
4.595,50.0949,0.2,0.0,0.09,0.12,DOUR,19.51,2000.00-2019.51,EUREF
20.6545,42.0622,0.49,-0.9,0.21,0.2,DRA2,6.51,2013.00-2019.50,KOPOS
22.9335,42.9318,-0.1,-2.6,0.37,0.51,DRAN,12.02,2007.49-2019.51,BULGARIA
19.1842,42.1867,0.0,1.6,0.17,0.16,DRME,10.22,2009.27-2019.49,MONTENEGRO
18.1103,42.6502,1.4,3.8,0.22,0.28,DUB2,7.54,2011.97-2019.51,EUREF
18.1104,42.65,0.6,3.6,0.38,0.43,DUBR,12.01,2000.73-2012.74,EUREF
19.451,41.3155,-0.1,1.6,0.25,0.3,DUR2,4.21,2015.22-2019.43,ALBPOS
24.9168,41.1402,0.4,-2.7,0.19,0.27,DUTH,10.81,2008.70-2019.51,EUREF
23.9324,38.0786,-16.31,-26.02,0.27,0.34,DYNG,8.11,2011.40-2019.51,EUREF
22.0512,40.8043,2.0,-7.71,0.21,0.22,EDES,8.3,2011.22-2019.52,METRICA
6.8819,50.5253,0.2,0.1,0.12,0.1,EFBG,17.14,2002.37-2019.51,GREF
5.6836,50.7582,-0.2,0.2,0.09,0.12,EIJS,19.51,2000.00-2019.51,EUREF
25.9004,42.9305,-0.2,-0.5,0.17,0.25,ELEN,5.36,2014.15-2019.51,BULGARIA
26.5832,42.177,-1.3,-0.7,0.3,0.32,ELH1,6.86,2012.65-2019.51,BULGARIA
0.9757,42.6936,0.2,0.2,0.1,0.12,ESCO,19.5,2000.01-2019.51,EUREF
20.6186,38.754,-6.13,-9.85,0.9,0.59,EXAN,3.61,2015.90-2019.50,CRL
